Date_reported,Country,WHO_region,New_cases,Cumulative_cases,Cumulative_cases,New_deaths,Cumulative_deaths
18-Dec-21,India,SEAR,7145,34733194,34733194,289,477158
19-Dec-21,India,SEAR,7081,34740275,34740275,264,477422
20-Dec-21,India,SEAR,6563,34746838,34746838,132,477554
21-Dec-21,India,SEAR,5326,34752164,34752164,453,478007
22-Dec-21,India,SEAR,6317,34758481,34758481,318,478325
23-Dec-21,India,SEAR,7495,34765976,34765976,434,478759
24-Dec-21,India,SEAR,6650,34772626,34772626,374,479133
25-Dec-21,India,SEAR,7189,34779815,34779815,387,479520
26-Dec-21,India,SEAR,6987,34786802,34786802,162,479682
27-Dec-21,India,SEAR,6531,34793333,34793333,315,479997
28-Dec-21,India,SEAR,6358,34799691,34799691,293,480290
29-Dec-21,India,SEAR,9195,34808886,34808886,302,480592
30-Dec-21,India,SEAR,13154,34822040,34822040,268,480860
31-Dec-21,India,SEAR,16764,34838804,34838804,220,481080
01-Jan-22,India,SEAR,22775,34861579,34861579,406,481486
02-Jan-22,India,SEAR,27553,34889132,34889132,284,481770
03-Jan-22,India,SEAR,33750,34922882,34922882,123,481893
04-Jan-22,India,SEAR,37379,34960261,34960261,124,482017
05-Jan-22,India,SEAR,58097,35018358,35018358,534,482551
06-Jan-22,India,SEAR,90928,35109286,35109286,325,482876
07-Jan-22,India,SEAR,117100,35226386,35226386,302,483178
08-Jan-22,India,SEAR,141986,35368372,35368372,285,483463
09-Jan-22,India,SEAR,159632,35528004,35528004,327,483790
10-Jan-22,India,SEAR,179723,35707727,35707727,146,483936
11-Jan-22,India,SEAR,168063,35875790,35875790,277,484213
12-Jan-22,India,SEAR,194720,36070510,36070510,442,484655
13-Jan-22,India,SEAR,247417,36317927,36317927,380,485035
14-Jan-22,India,SEAR,264202,36582129,36582129,315,485350
15-Jan-22,India,SEAR,268833,36850962,36850962,402,485752
16-Jan-22,India,SEAR,271202,37122164,37122164,314,486066
17-Jan-22,India,SEAR,258089,37380253,37380253,385,486451
18-Jan-22,India,SEAR,238018,37618271,37618271,310,486761
19-Jan-22,India,SEAR,282970,37901241,37901241,441,487202
20-Jan-22,India,SEAR,317532,38218773,38218773,491,487693
21-Jan-22,India,SEAR,347254,38566027,38566027,703,488396
22-Jan-22,India,SEAR,337704,38903731,38903731,488,488884
23-Jan-22,India,SEAR,333533,39237264,39237264,525,489409
24-Jan-22,India,SEAR,306064,39543328,39543328,439,489848
25-Jan-22,India,SEAR,255874,39799202,39799202,614,490462
26-Jan-22,India,SEAR,285914,40085116,40085116,665,491127
27-Jan-22,India,SEAR,286384,40371500,40371500,573,491700
28-Jan-22,India,SEAR,251209,40622709,40622709,627,492327
29-Jan-22,India,SEAR,235532,40858241,40858241,871,493198
30-Jan-22,India,SEAR,234281,41092522,41092522,893,494091
31-Jan-22,India,SEAR,209918,41302440,41302440,959,495050
01-Feb-22,India,SEAR,167059,41469499,41469499,1192,496242
02-Feb-22,India,SEAR,161386,41630885,41630885,1733,497975
03-Feb-22,India,SEAR,172433,41803318,41803318,1008,498983
04-Feb-22,India,SEAR,149394,41952712,41952712,1072,500055
05-Feb-22,India,SEAR,127952,42080664,42080664,1059,501114
06-Feb-22,India,SEAR,107474,42188138,42188138,865,501979
07-Feb-22,India,SEAR,83876,42272014,42272014,895,502874
08-Feb-22,India,SEAR,67597,42339611,42339611,1188,504062
09-Feb-22,India,SEAR,71365,42410976,42410976,1217,505279
10-Feb-22,India,SEAR,67084,42478060,42478060,1241,506520
11-Feb-22,India,SEAR,58077,42536137,42536137,657,507177
12-Feb-22,India,SEAR,50407,42586544,42586544,804,507981
13-Feb-22,India,SEAR,44877,42631421,42631421,684,508665
14-Feb-22,India,SEAR,34113,42665534,42665534,346,509011
15-Feb-22,India,SEAR,27409,42692943,42692943,347,509358
16-Feb-22,India,SEAR,30615,42723558,42723558,514,509872
17-Feb-22,India,SEAR,30757,42754315,42754315,541,510413
18-Feb-22,India,SEAR,25920,42780235,42780235,492,510905
19-Feb-22,India,SEAR,22270,42802505,42802505,325,511230
20-Feb-22,India,SEAR,19968,42822473,42822473,673,511903
21-Feb-22,India,SEAR,16051,42838524,42838524,206,512109
22-Feb-22,India,SEAR,13405,42851929,42851929,235,512344
23-Feb-22,India,SEAR,15102,42867031,42867031,278,512622
24-Feb-22,India,SEAR,14148,42881179,42881179,302,512924
25-Feb-22,India,SEAR,13166,42894345,42894345,302,513226
26-Feb-22,India,SEAR,11499,42905844,42905844,255,513481
27-Feb-22,India,SEAR,10273,42916117,42916117,243,513724
28-Feb-22,India,SEAR,8013,42924130,42924130,119,513843
01-Mar-22,India,SEAR,6915,42931045,42931045,180,514023
02-Mar-22,India,SEAR,7554,42938599,42938599,223,514246
03-Mar-22,India,SEAR,6561,42945160,42945160,142,514388
04-Mar-22,India,SEAR,6396,42951556,42951556,201,514589
05-Mar-22,India,SEAR,5921,42957477,42957477,289,514878
06-Mar-22,India,SEAR,5476,42962953,42962953,158,515036
07-Mar-22,India,SEAR,4362,42967315,42967315,66,515102
08-Mar-22,India,SEAR,3993,42971308,42971308,108,515210
09-Mar-22,India,SEAR,4575,42975883,42975883,145,515355
10-Mar-22,India,SEAR,4184,42980067,42980067,104,515459
11-Mar-22,India,SEAR,4194,42984261,42984261,255,515714
12-Mar-22,India,SEAR,3614,42987875,42987875,89,515803
13-Mar-22,India,SEAR,3116,42990991,42990991,47,515850
14-Mar-22,India,SEAR,2503,42993494,42993494,27,515877
15-Mar-22,India,SEAR,2568,42996062,42996062,97,515974
16-Mar-22,India,SEAR,2876,42998938,42998938,98,516072
17-Mar-22,India,SEAR,2539,43001477,43001477,60,516132
